,Hospital Name,Provider Number,State,Measure Name,Number of Discharges,Excess Readmission Ratio,Predicted Readmission Rate,Expected Readmission Rate,Number of Readmissions,Start Date,End Date
1395,NORTH CENTRAL BRONX HOSPITAL,330385,NY,READM-30-PN-HRRP,36,1.1082,16.7,15.1,12.0,07/01/2010,06/30/2013
3145,BROWARD HEALTH IMPERIAL POINT,100200,FL,READM-30-AMI-HRRP,37,1.0581,21.2,20.1,11.0,07/01/2010,06/30/2013
3207,ALLEN PARISH HOSPITAL,190133,LA,READM-30-HF-HRRP,37,1.057,23.6,22.3,12.0,07/01/2010,06/30/2013
1471,PORTERVILLE DEVELOPMENTAL CENTER,50546,CA,READM-30-PN-HRRP,37,1.1043,16.7,15.1,12.0,07/01/2010,06/30/2013
1838,HARMON MEMORIAL HOSPITAL,370036,OK,READM-30-PN-HRRP,37,1.0912,20.7,19.0,13.0,07/01/2010,06/30/2013
4092,LAC/HARBOR-UCLA MED CENTER,50376,CA,READM-30-COPD-HRRP,37,1.0398,24.0,23.1,12.0,07/01/2010,06/30/2013
2252,CAREPOINT HEALTH-HOBOKEN UNIVERSITY MEDICAL CENTER,310040,NJ,READM-30-AMI-HRRP,37,1.0784,23.2,21.5,13.0,07/01/2010,06/30/2013
3087,FORT DEFIANCE INDIAN HOSPITAL,30071,AZ,READM-30-HF-HRRP,37,1.0593,20.9,19.7,11.0,07/01/2010,06/30/2013
4317,MINERS MEDICAL CENTER,390130,PA,READM-30-HF-HRRP,38,1.0359,23.5,22.7,11.0,07/01/2010,06/30/2013
5309,COMMUNITY HOSPITAL OF LONG BEACH,50727,CA,READM-30-AMI-HRRP,38,1.0203,25.8,25.3,11.0,07/01/2010,06/30/2013
2952,ST MARYS HOSPITAL,140026,IL,READM-30-AMI-HRRP,38,1.0621,20.3,19.1,11.0,07/01/2010,06/30/2013
3406,DOCTORS HOSPITAL INC,100296,FL,READM-30-AMI-HRRP,38,1.053,21.3,20.2,11.0,07/01/2010,06/30/2013
738,SAINT CATHERINE REGIONAL HOSPITAL,150163,IN,READM-30-HF-HRRP,39,1.1468,25.2,22.0,18.0,07/01/2010,06/30/2013
1781,BAYSTATE FRANKLIN MEDICAL CENTER,220016,MA,READM-30-AMI-HRRP,39,1.0932,18.7,17.1,12.0,07/01/2010,06/30/2013
5051,ST JAMES MERCY HOSPITAL,330151,NY,READM-30-AMI-HRRP,39,1.0238,24.6,24.1,11.0,07/01/2010,06/30/2013
2508,OWATONNA HOSPITAL,240069,MN,READM-30-AMI-HRRP,39,1.0721,21.0,19.5,12.0,07/01/2010,06/30/2013
2113,SOUTHWEST MEDICAL CENTER,170068,KS,READM-30-HF-HRRP,39,1.0825,21.7,20.0,13.0,07/01/2010,06/30/2013
3004,PIONEERS MEMORIAL HEALTHCARE DISTRICT,50342,CA,READM-30-AMI-HRRP,40,1.061,19.4,18.3,11.0,07/01/2010,06/30/2013
4328,KINGSBROOK JEWISH MEDICAL CENTER,330201,NY,READM-30-AMI-HRRP,40,1.0357,24.8,24.0,12.0,07/01/2010,06/30/2013
4101,JEFFERSON HOSPITAL,110100,GA,READM-30-COPD-HRRP,40,1.0395,20.4,19.6,11.0,07/01/2010,06/30/2013
3584,WAGONER COMMUNITY HOSPITAL,370166,OK,READM-30-HF-HRRP,40,1.0488,23.0,21.9,12.0,07/01/2010,06/30/2013
3370,TULARE REGIONAL MEDICAL CENTER,50359,CA,READM-30-AMI-HRRP,40,1.0536,20.3,19.2,11.0,07/01/2010,06/30/2013
2272,WINDHAM COMM MEM HOSP & HATCH HOSP,70021,CT,READM-30-AMI-HRRP,40,1.0779,22.0,20.4,13.0,07/01/2010,06/30/2013
1712,EXCELA HEALTH LATROBE HOSPITAL,390219,PA,READM-30-AMI-HRRP,40,1.0955,22.2,20.3,14.0,07/01/2010,06/30/2013
3977,ST MARY'S MEDICAL CENTER,100288,FL,READM-30-COPD-HRRP,41,1.0418,19.5,18.8,11.0,07/01/2010,06/30/2013
3923,GILBERT HOSPITAL,30120,AZ,READM-30-HF-HRRP,41,1.0427,21.0,20.2,11.0,07/01/2010,06/30/2013
3649,APPLING HOSPITAL,110071,GA,READM-30-HF-HRRP,41,1.0476,22.7,21.7,12.0,07/01/2010,06/30/2013
3408,MIDMICHIGAN MEDICAL CENTER-CLARE,230180,MI,READM-30-AMI-HRRP,41,1.053,20.0,19.0,11.0,07/01/2010,06/30/2013
4726,BON SECOURS COMMUNITY HOSPITAL,330135,NY,READM-30-AMI-HRRP,41,1.0295,22.8,22.1,11.0,07/01/2010,06/30/2013
947,INTERFAITH MEDICAL CENTER,330397,NY,READM-30-PN-HRRP,41,1.1327,20.2,17.9,16.0,07/01/2010,06/30/2013
5826,UPMC NORTHWEST,390091,PA,READM-30-AMI-HRRP,42,1.0124,24.5,24.2,11.0,07/01/2010,06/30/2013
3181,"ROME MEMORIAL HOSPITAL, INC",330215,NY,READM-30-AMI-HRRP,42,1.0576,19.0,18.0,11.0,07/01/2010,06/30/2013
1468,PROGRESS WEST HOSPITAL,260219,MO,READM-30-AMI-HRRP,42,1.1045,18.4,16.6,13.0,07/01/2010,06/30/2013
3853,MONROE HOSPITAL,150164,IN,READM-30-COPD-HRRP,42,1.0439,18.8,18.0,11.0,07/01/2010,06/30/2013
3558,BOLIVAR GENERAL HOSPITAL,440181,TN,READM-30-HF-HRRP,42,1.0495,24.2,23.0,13.0,07/01/2010,06/30/2013
4705,ROXBOROUGH MEMORIAL HOSPITAL,390304,PA,READM-30-AMI-HRRP,43,1.0299,21.7,21.1,11.0,07/01/2010,06/30/2013
1731,UPMC EAST,390328,PA,READM-30-HF-HRRP,43,1.0949,24.7,22.6,16.0,07/01/2010,06/30/2013
3109,COMMUNITY HOSPITAL OF HUNTINGTON PARK,50091,CA,READM-30-PN-HRRP,43,1.0587,19.6,18.5,12.0,07/01/2010,06/30/2013
3291,MARLBOROUGH HOSPITAL,220049,MA,READM-30-AMI-HRRP,43,1.0552,23.1,21.9,13.0,07/01/2010,06/30/2013
4245,GALESBURG COTTAGE HOSPITAL,140040,IL,READM-30-AMI-HRRP,43,1.0371,23.0,22.2,12.0,07/01/2010,06/30/2013
2249,HUTCHINSON HEALTH,240187,MN,READM-30-COPD-HRRP,43,1.0785,19.8,18.3,14.0,07/01/2010,06/30/2013
4551,MONTCLAIR HOSPITAL MEDICAL CENTER,50758,CA,READM-30-HF-HRRP,44,1.0326,27.2,26.4,14.0,07/01/2010,06/30/2013
1420,PIEDMONT MOUNTAINSIDE HOSPITAL INC,110225,GA,READM-30-AMI-HRRP,44,1.1071,23.2,21.0,16.0,07/01/2010,06/30/2013
5336,ABBEVILLE GENERAL HOSPITAL,190034,LA,READM-30-COPD-HRRP,44,1.0198,21.7,21.2,11.0,07/01/2010,06/30/2013
2367,SALT LAKE REGIONAL MEDICAL CENTER,460003,UT,READM-30-AMI-HRRP,44,1.0759,16.3,15.1,11.0,07/01/2010,06/30/2013
4310,MEMORIAL HOSPITAL LOS BANOS,50528,CA,READM-30-HF-HRRP,45,1.036,22.1,21.4,12.0,07/01/2010,06/30/2013
1469,NORTH CENTRAL BRONX HOSPITAL,330385,NY,READM-30-COPD-HRRP,45,1.1044,21.6,19.6,17.0,07/01/2010,06/30/2013
1666,HIGHLANDS HOSPITAL,390184,PA,READM-30-HF-HRRP,45,1.0972,23.5,21.4,16.0,07/01/2010,06/30/2013
4683,ST JOHNS PLEASANT VALLEY HOSPITAL,50616,CA,READM-30-AMI-HRRP,45,1.0303,20.7,20.1,11.0,07/01/2010,06/30/2013
4089,ST JOSEPH HEALTH SERVICES OF RI,410005,RI,READM-30-AMI-HRRP,45,1.0398,21.8,21.0,12.0,07/01/2010,06/30/2013
4747,MEMORIAL HOSPITAL OF SALEM COUNTY,310091,NJ,READM-30-AMI-HRRP,45,1.0291,22.9,22.3,12.0,07/01/2010,06/30/2013
6237,NATHAN LITTAUER HOSPITAL,330276,NY,READM-30-AMI-HRRP,45,1.0063,23.6,23.5,11.0,07/01/2010,06/30/2013
3663,LAKE CITY MEDICAL CENTER,100156,FL,READM-30-AMI-HRRP,45,1.0474,20.9,20.0,12.0,07/01/2010,06/30/2013
4199,GREENE COUNTY HOSPITAL,10051,AL,READM-30-HF-HRRP,46,1.038,19.4,18.7,11.0,07/01/2010,06/30/2013
4514,HEALTHEAST ST JOHN'S HOSPITAL,240210,MN,READM-30-AMI-HRRP,46,1.033,20.0,19.4,11.0,07/01/2010,06/30/2013
1917,LAUREL REGIONAL MEDICAL CENTER,210055,MD,READM-30-AMI-HRRP,46,1.0888,24.0,22.0,16.0,07/01/2010,06/30/2013
3306,HOMESTEAD HOSPITAL,100125,FL,READM-30-AMI-HRRP,46,1.0549,23.7,22.5,14.0,07/01/2010,06/30/2013
4084,LAS COLINAS MEDICAL CENTER,450822,TX,READM-30-COPD-HRRP,46,1.0398,19.9,19.1,12.0,07/01/2010,06/30/2013
4950,JENNINGS AMERICAN LEGION HOSPITAL,190053,LA,READM-30-AMI-HRRP,46,1.0253,23.0,22.4,12.0,07/01/2010,06/30/2013
3837,COLUSA REGIONAL MEDICAL CENTER,50434,CA,READM-30-COPD-HRRP,46,1.0442,19.3,18.5,12.0,07/01/2010,06/30/2013
5501,MERCY ST ANNE HOSPITAL,360262,OH,READM-30-AMI-HRRP,46,1.017,23.9,23.5,12.0,07/01/2010,06/30/2013
5796,SAN GABRIEL VALLEY MEDICAL CENTER,50132,CA,READM-30-AMI-HRRP,46,1.0129,22.3,22.0,11.0,07/01/2010,06/30/2013
3023,MCLEOD MEDICAL CENTER - DILLON,420005,SC,READM-30-AMI-HRRP,47,1.0607,20.7,19.5,13.0,07/01/2010,06/30/2013
5146,COLUSA REGIONAL MEDICAL CENTER,50434,CA,READM-30-HF-HRRP,47,1.0225,22.7,22.2,12.0,07/01/2010,06/30/2013
4190,MEMORIAL HOSPITAL OF RHODE ISLAND,410001,RI,READM-30-AMI-HRRP,47,1.0382,19.1,18.4,11.0,07/01/2010,06/30/2013
4032,TWIN CITIES COMMUNITY HOSPITAL,50633,CA,READM-30-AMI-HRRP,47,1.0408,18.8,18.1,11.0,07/01/2010,06/30/2013
3591,METROPOLITAN HOSPITAL CENTER,330199,NY,READM-30-HF-HRRP,47,1.0487,25.7,24.5,15.0,07/01/2010,06/30/2013
5031,MEMORIAL HOSPITAL OF GARDENA,50468,CA,READM-30-AMI-HRRP,47,1.024,28.7,28.0,15.0,07/01/2010,06/30/2013
3155,EAST CARROLL PARISH HOSPITAL,190208,LA,READM-30-HF-HRRP,47,1.0579,24.8,23.4,15.0,07/01/2010,06/30/2013
3581,BELLVILLE GENERAL HOSPITAL,450253,TX,READM-30-HF-HRRP,47,1.0489,19.8,18.9,12.0,07/01/2010,06/30/2013
4455,CLINCH VALLEY MEDICAL CENTER,490060,VA,READM-30-AMI-HRRP,47,1.0336,19.6,18.9,11.0,07/01/2010,06/30/2013
4921,"BAILEY MEDICAL CENTER, LLC",370228,OK,READM-30-HF-HRRP,47,1.0258,22.4,21.8,12.0,07/01/2010,06/30/2013
2801,NASSAU UNIVERSITY MEDICAL CENTER,330027,NY,READM-30-AMI-HRRP,47,1.0654,22.2,20.8,14.0,07/01/2010,06/30/2013
2307,ANNA JAQUES HOSPITAL,220029,MA,READM-30-AMI-HRRP,48,1.0771,22.5,20.9,15.0,07/01/2010,06/30/2013
6221,CHICKASAW NATION MEDICAL CENTER,370180,OK,READM-30-HF-HRRP,48,1.0065,24.2,24.0,12.0,07/01/2010,06/30/2013
1970,ST JOHN BROKEN ARROW,370235,OK,READM-30-HF-HRRP,48,1.0873,21.2,19.5,15.0,07/01/2010,06/30/2013
4036,JACKSON PURCHASE MEDICAL CENTER,180116,KY,READM-30-AMI-HRRP,48,1.0407,22.3,21.5,13.0,07/01/2010,06/30/2013
3585,KOSCIUSKO COMMUNITY HOSPITAL,150133,IN,READM-30-AMI-HRRP,48,1.0488,23.4,22.3,14.0,07/01/2010,06/30/2013
4881,MT GRAHAM REGIONAL MEDICAL CENTER,30068,AZ,READM-30-HF-HRRP,48,1.0265,19.8,19.3,11.0,07/01/2010,06/30/2013
1343,LAC/OLIVE VIEW-UCLA MEDICAL CENTER,50040,CA,READM-30-PN-HRRP,48,1.1101,21.5,19.3,17.0,07/01/2010,06/30/2013
4694,PALMS OF PASADENA HOSPITAL,100126,FL,READM-30-AMI-HRRP,48,1.0301,21.5,20.9,12.0,07/01/2010,06/30/2013
1373,HOWARD UNIVERSITY HOSPITAL,90003,DC,READM-30-AMI-HRRP,49,1.1089,19.2,17.3,15.0,07/01/2010,06/30/2013
5801,BRADFORD REGIONAL MEDICAL CENTER,390118,PA,READM-30-AMI-HRRP,49,1.0128,21.0,20.8,11.0,07/01/2010,06/30/2013
3050,CHAMBERS MEMORIAL HOSPITAL,40011,AR,READM-30-AMI-HRRP,49,1.0602,23.8,22.5,15.0,07/01/2010,06/30/2013
5233,POMERENE HOSPITAL,360148,OH,READM-30-HF-HRRP,49,1.0214,20.0,19.6,11.0,07/01/2010,06/30/2013
5081,PARKWAY REGIONAL HOSPITAL,180117,KY,READM-30-COPD-HRRP,49,1.0233,21.0,20.5,12.0,07/01/2010,06/30/2013
2712,ST JAMES HEALTHCARE,270017,MT,READM-30-AMI-HRRP,49,1.0673,15.5,14.5,11.0,07/01/2010,06/30/2013
5364,REYNOLDS MEMORIAL HOSPITAL,510013,WV,READM-30-AMI-HRRP,49,1.0194,20.3,19.9,11.0,07/01/2010,06/30/2013
5148,TRACE REGIONAL HOSP AND SWING BED,250017,MS,READM-30-HF-HRRP,49,1.0224,23.9,23.3,13.0,07/01/2010,06/30/2013
4152,MAGEE GENERAL HOSPITAL,250124,MS,READM-30-COPD-HRRP,50,1.0387,16.7,16.1,11.0,07/01/2010,06/30/2013
4469,COFFEY COUNTY HOSPITAL,170094,KS,READM-30-COPD-HRRP,50,1.0335,17.4,16.8,11.0,07/01/2010,06/30/2013
5262,CHILDRESS REGIONAL MEDICAL CENTER,450369,TX,READM-30-HF-HRRP,50,1.021,19.7,19.3,11.0,07/01/2010,06/30/2013
2059,LEONARD J CHABERT MEDICAL CENTER,190183,LA,READM-30-HF-HRRP,50,1.0843,26.2,24.1,18.0,07/01/2010,06/30/2013
3942,NATCHEZ COMMUNITY HOSPITAL,250122,MS,READM-30-AMI-HRRP,50,1.0424,17.6,16.9,11.0,07/01/2010,06/30/2013
4019,MORTON COUNTY HOSPITAL,170166,KS,READM-30-COPD-HRRP,50,1.0411,18.3,17.6,12.0,07/01/2010,06/30/2013
4017,EINSTEIN MEDICAL CENTER MONTGOMERY,390329,PA,READM-30-AMI-HRRP,50,1.0412,17.6,16.9,11.0,07/01/2010,06/30/2013
4624,WUESTHOFF MEDICAL CENTER - MELBOURNE,100291,FL,READM-30-AMI-HRRP,50,1.0313,18.6,18.1,11.0,07/01/2010,06/30/2013
2784,"HEALTHALLIANCE HOSPITALS, INC",220001,MA,READM-30-AMI-HRRP,50,1.0657,22.7,21.3,15.0,07/01/2010,06/30/2013
810,EAST CARROLL PARISH HOSPITAL,190208,LA,READM-30-PN-HRRP,50,1.1413,19.8,17.4,18.0,07/01/2010,06/30/2013
4055,MADISON COUNTY HOSPITAL INC,360189,OH,READM-30-COPD-HRRP,50,1.0404,18.3,17.6,12.0,07/01/2010,06/30/2013
3956,LOS ANGELES COMMUNITY HOSPITAL,50663,CA,READM-30-AMI-HRRP,50,1.0421,27.0,25.9,16.0,07/01/2010,06/30/2013
6419,EDWARD MCCREADY MEMORIAL HOSPITAL,210045,MD,READM-30-HF-HRRP,50,1.0037,23.6,23.5,12.0,07/01/2010,06/30/2013
5896,HENRY COUNTY MEDICAL CENTER,440132,TN,READM-30-AMI-HRRP,50,1.0113,20.7,20.5,11.0,07/01/2010,06/30/2013
3384,JOHN RANDOLPH MEDICAL CENTER,490020,VA,READM-30-AMI-HRRP,51,1.0533,19.9,18.9,13.0,07/01/2010,06/30/2013
2781,UPMC HORIZON,390178,PA,READM-30-AMI-HRRP,51,1.0658,20.6,19.3,14.0,07/01/2010,06/30/2013
4281,ST VINCENT ANDERSON REGIONAL HOSPITAL INC,150088,IN,READM-30-AMI-HRRP,51,1.0365,19.7,19.0,12.0,07/01/2010,06/30/2013
7628,VALLEY GENERAL HOSPITAL,500084,WA,READM-30-HF-HRRP,51,0.9871,23.1,23.4,11.0,07/01/2010,06/30/2013
2690,HAYWOOD PARK COMMUNITY HOSPITAL,440174,TN,READM-30-PN-HRRP,51,1.0677,17.8,16.6,13.0,07/01/2010,06/30/2013
5461,UNIVERSITY OF MARYLAND HARFORD MEMORIAL HOSPITAL,210006,MD,READM-30-AMI-HRRP,51,1.0179,23.5,23.1,13.0,07/01/2010,06/30/2013
2182,SOUTH CENTRAL REG MED CTR,250058,MS,READM-30-AMI-HRRP,51,1.0805,19.3,17.9,14.0,07/01/2010,06/30/2013
3690,PROVIDENCE NEWBERG MEDICAL CENTER,380037,OR,READM-30-PN-HRRP,51,1.0469,16.3,15.5,11.0,07/01/2010,06/30/2013
3737,ALICE HYDE MEDICAL CENTER,330084,NY,READM-30-AMI-HRRP,51,1.0461,24.3,23.2,15.0,07/01/2010,06/30/2013
1896,TUBA CITY REGIONAL HEALTH CARE CORPORATION,30073,AZ,READM-30-HF-HRRP,51,1.0895,20.0,18.4,15.0,07/01/2010,06/30/2013
1858,PEKIN MEMORIAL HOSPITAL,140120,IL,READM-30-AMI-HRRP,51,1.0907,20.1,18.4,15.0,07/01/2010,06/30/2013
1051,RIVERSIDE SHORE MEMORIAL HOSPITAL,490037,VA,READM-30-AMI-HRRP,51,1.1251,22.3,19.8,18.0,07/01/2010,06/30/2013
5048,"SAYRE MEMORIAL HOSPITAL, INC",370103,OK,READM-30-HF-HRRP,51,1.0238,20.9,20.4,12.0,07/01/2010,06/30/2013
4138,CULPEPER REGIONAL HOSPITAL,490019,VA,READM-30-AMI-HRRP,51,1.0389,23.2,22.3,14.0,07/01/2010,06/30/2013
1101,WELLMONT LONESOME PINE HOSPITAL,490114,VA,READM-30-AMI-HRRP,52,1.122,24.0,21.4,19.0,07/01/2010,06/30/2013
5406,"ST JOSEPH'S HOSPITAL, INC",330108,NY,READM-30-AMI-HRRP,52,1.0188,21.1,20.7,12.0,07/01/2010,06/30/2013
6664,IVINSON MEMORIAL HOSPITAL,530025,WY,READM-30-HF-HRRP,52,1.0,21.2,21.2,11.0,07/01/2010,06/30/2013
4505,SHARKEY ISSAQUENA COMMUNITY HOSPITAL,250079,MS,READM-30-HF-HRRP,52,1.0331,21.4,20.7,13.0,07/01/2010,06/30/2013
2040,MIDTOWN MEDICAL CENTER,110064,GA,READM-30-AMI-HRRP,52,1.0849,20.2,18.6,15.0,07/01/2010,06/30/2013
1992,NORTH OAK REGIONAL MEDICAL CENTER,250126,MS,READM-30-HF-HRRP,52,1.0864,25.1,23.1,18.0,07/01/2010,06/30/2013
5145,WESTERN PENNSYLVANIA HOSPITAL,390090,PA,READM-30-HF-HRRP,52,1.0225,20.7,20.2,12.0,07/01/2010,06/30/2013
1744,ST LUKE'S WARREN HOSPITAL,310060,NJ,READM-30-AMI-HRRP,52,1.0946,24.6,22.4,18.0,07/01/2010,06/30/2013
1623,NORTHERN MONTANA HOSPITAL,270032,MT,READM-30-COPD-HRRP,52,1.0983,19.7,17.9,17.0,07/01/2010,06/30/2013
1080,SOUTHERN VIRGINIA REGIONAL MEDICAL CENTER,490097,VA,READM-30-AMI-HRRP,52,1.1233,25.4,22.6,20.0,07/01/2010,06/30/2013
1277,SHANDS LAKE SHORE REGIONAL MEDICAL CENTER,100102,FL,READM-30-AMI-HRRP,52,1.1129,26.3,23.6,20.0,07/01/2010,06/30/2013
7120,EXEMPLA SAINT JOSEPH HOSPITAL,60028,CO,READM-30-HF-HRRP,52,0.9938,21.9,22.0,11.0,07/01/2010,06/30/2013
4453,ANSON COMMUNITY HOSPITAL,340084,NC,READM-30-PN-HRRP,53,1.0336,17.1,16.5,11.0,07/01/2010,06/30/2013
6499,GEARY COMMUNITY HOSPITAL,170074,KS,READM-30-HF-HRRP,53,1.0025,20.5,20.4,11.0,07/01/2010,06/30/2013
4695,CANNON MEMORIAL HOSPITAL,420011,SC,READM-30-HF-HRRP,53,1.03,21.3,20.7,13.0,07/01/2010,06/30/2013
4202,BAPTIST HEALTH CORBIN,180080,KY,READM-30-AMI-HRRP,53,1.038,22.4,21.6,14.0,07/01/2010,06/30/2013
3344,STRINGFELLOW MEMORIAL HOSPITAL,10038,AL,READM-30-AMI-HRRP,53,1.0542,17.3,16.5,12.0,07/01/2010,06/30/2013
1174,HIGHLANDS REGIONAL MEDICAL CENTER,180005,KY,READM-30-AMI-HRRP,53,1.118,25.4,22.7,20.0,07/01/2010,06/30/2013
3916,COGDELL MEMORIAL HOSPITAL,450073,TX,READM-30-COPD-HRRP,53,1.0428,17.1,16.4,12.0,07/01/2010,06/30/2013
3834,COAST PLAZA HOSPITAL,50771,CA,READM-30-COPD-HRRP,53,1.0442,23.9,22.9,16.0,07/01/2010,06/30/2013
5322,MERCY HOSPITAL EL RENO,370011,OK,READM-30-COPD-HRRP,53,1.0201,18.1,17.7,11.0,07/01/2010,06/30/2013
3529,PUSHMATAHA CTY-TN OF ANTLERS HOSP AUTH,370083,OK,READM-30-HF-HRRP,53,1.0502,22.9,21.8,15.0,07/01/2010,06/30/2013
3525,DECATUR COUNTY GENERAL HOSPITAL,440070,TN,READM-30-HF-HRRP,53,1.0503,22.9,21.8,15.0,07/01/2010,06/30/2013
1918,CLINTON HOSPITAL ASSOCIATION,220058,MA,READM-30-HF-HRRP,53,1.0888,22.8,20.9,17.0,07/01/2010,06/30/2013
6072,ST MARY'S HOSPITAL ( TROY ),330232,NY,READM-30-AMI-HRRP,53,1.0086,21.7,21.5,12.0,07/01/2010,06/30/2013
5363,BAPTIST EASLEY HOSPITAL,420015,SC,READM-30-AMI-HRRP,53,1.0194,20.6,20.2,12.0,07/01/2010,06/30/2013
3230,CHAPMAN MEDICAL CENTER,50745,CA,READM-30-PN-HRRP,53,1.0566,16.5,15.6,12.0,07/01/2010,06/30/2013
5091,LOVELACE WESTSIDE HOSPITAL,320074,NM,READM-30-COPD-HRRP,53,1.0232,17.7,17.3,11.0,07/01/2010,06/30/2013
5996,SOUTH CENTRAL KS  MED CENTER,170150,KS,READM-30-HF-HRRP,53,1.0099,21.6,21.4,12.0,07/01/2010,06/30/2013
4942,ELMORE COMMUNITY HOSPITAL,10097,AL,READM-30-HF-HRRP,54,1.0255,19.6,19.1,12.0,07/01/2010,06/30/2013
5551,SCOTT & WHITE HOSPITAL-LLANO,450219,TX,READM-30-COPD-HRRP,54,1.0162,21.8,21.5,13.0,07/01/2010,06/30/2013
6511,PERRY COMMUNITY HOSPITAL,440040,TN,READM-30-COPD-HRRP,54,1.0023,21.9,21.9,12.0,07/01/2010,06/30/2013
2485,KENTUCKIANA MEDICAL CENTER LLC,150176,IN,READM-30-AMI-HRRP,54,1.0726,17.2,16.0,13.0,07/01/2010,06/30/2013
5827,NOCONA GENERAL HOSPITAL,450641,TX,READM-30-COPD-HRRP,54,1.0123,20.5,20.3,12.0,07/01/2010,06/30/2013
3040,LAC+USC MEDICAL CENTER,50373,CA,READM-30-PN-HRRP,54,1.0605,17.4,16.4,13.0,07/01/2010,06/30/2013
4141,LINCOLN MEDICAL & MENTAL HEALTH CENTER,330080,NY,READM-30-AMI-HRRP,54,1.0389,23.7,22.8,15.0,07/01/2010,06/30/2013
3955,CUMBERLAND RIVER HOSPITAL,440141,TN,READM-30-HF-HRRP,54,1.0422,21.5,20.7,14.0,07/01/2010,06/30/2013
2800,RUSH OAK PARK HOSPITAL,140063,IL,READM-30-AMI-HRRP,54,1.0654,19.5,18.3,14.0,07/01/2010,06/30/2013
2719,OAK VALLEY DISTRICT HOSPITAL,50067,CA,READM-30-HF-HRRP,55,1.0672,20.6,19.3,15.0,07/01/2010,06/30/2013
3978,ALLIANCE HEALTHCARE SYSTEM,250012,MS,READM-30-HF-HRRP,55,1.0418,21.2,20.4,14.0,07/01/2010,06/30/2013
2999,PICKENS COUNTY MEDICAL CENTER,10109,AL,READM-30-HF-HRRP,55,1.0612,22.8,21.5,16.0,07/01/2010,06/30/2013
2532,INOVA FAIR OAKS HOSPITAL,490101,VA,READM-30-AMI-HRRP,55,1.0714,18.7,17.5,14.0,07/01/2010,06/30/2013
3063,HARLEM HOSPITAL CENTER,330240,NY,READM-30-PN-HRRP,55,1.06,15.6,14.8,12.0,07/01/2010,06/30/2013
5471,WAYNESBORO HOSPITAL,390138,PA,READM-30-AMI-HRRP,55,1.0177,20.1,19.7,12.0,07/01/2010,06/30/2013
6429,ALTA BATES SUMMIT MEDICAL CENTER - ALTA BATES CAMP,50305,CA,READM-30-AMI-HRRP,55,1.0036,19.6,19.6,11.0,07/01/2010,06/30/2013
